"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Create course",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Thu Jul 03 19:37:51 GMT 2025","Thu Jul 03 19:37:51 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Check displaying of empty courses list",""
"broken","Thu Jul 03 19:37:52 GMT 2025","Thu Jul 03 19:37:52 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Edit course",""
"broken","Thu Jul 03 19:37:52 GMT 2025","Thu Jul 03 19:37:52 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Thu Jul 03 19:37:52 GMT 2025","Thu Jul 03 19:37:52 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Edit course",""
"broken","Thu Jul 03 19:37:51 GMT 2025","Thu Jul 03 19:37:51 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Create course",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Courses","TestCourses","","","Check displaying of empty courses list",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Dashboard","TestDashboard","","","Check displaying of dashboard page",""
"broken","Thu Jul 03 19:37:54 GMT 2025","Thu Jul 03 19:37:54 GMT 2025","0","LMS system","Dashboard","TestDashboard","","","Check displaying of dashboard page",""
"broken","Thu Jul 03 19:37:53 GMT 2025","Thu Jul 03 19:37:53 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
